MasterFile,CollisionDate,CollisionTime,RoadwayName,ParkingLotIndicator,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVehicleUnits,Hit&RunIndicator,OneWayIndicator,SpeedLimitNumber,CountyCode,CityCountyCode,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,LocationFirstEventCode,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,LandUseCode,SchoolBusRelatedCode,FirstAidSceneIndicator,PropertyDamageIndicator,YR,KABCO,WorkingRID,KTC_RT,KTC_MP,Motorcyclist,Commercial Vehicle,Young Driver,Mature Driver,Pedestrian,Bicyclist,Distracted,Aggressive,Impaired,Unrestrained,Intersection,Roadway Departure,Median Cross-over,CityCrash,DACid,Intersection Crash,Segment Crash,Int_ID,CityIntersection
72337165,20190409,1635,US23,N,23.066,0,0,2,2,N,N,55,98,9801,Y,37.46585,-82.5282,5,3,6,1,1,2,2,1,3,N,N,2019,O,098-US-0023  -010,098-US-0023  -000,23.066,0,0,0,0,0,0,1,0,0,0,0,0,0,1,DAC,0,1,,
72314186,20190207,1951,HUFFMAN,N,0.09,1,0,2,1,N,N,25,98,9801,Y,37.47763,-82.51842,9,3,6,1,1,3,5,1,3,Y,N,2019,C,098-CS-1123  -000,098-CS-1123  -000,0.09,0,0,0,0,1,0,0,0,0,0,0,0,0,1,DAC,1,0,195-1117,1
72348054,20190503,1128,TOWN MOUNTAIN,N,6.781,0,0,2,2,N,N,55,98,9801,Y,37.48484,-82.51103,2,5,2,1,1,3,2,7,2,N,N,2019,O,098-KY-1426  -000,098-KY-1426  -000,6.781,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Non-DAC,0,1,,
72434334,20191110,1339,BYPASS,N,6.159,1,0,3,3,N,N,35,98,9801,Y,37.4774,-82.51654,5,3,6,1,1,2,2,1,3,N,N,2019,C,098-KY-1426  -000,098-KY-1426  -000,6.159,0,0,0,1,0,0,1,1,0,0,0,0,0,1,DAC,1,0,195-1116,1
72488518,20200311,2003,SOUTH BYPASS ROAD,N,,1,0,2,2,N,N,35,98,9801,Y,37.47228,-82.52685,4,3,6,1,1,2,5,1,3,Y,N,2020,C,098-KY-1426  -000,098-KY-1426  -000,5.464,0,0,0,0,0,0,0,1,0,0,1,0,0,1,DAC,1,0,195-1180,1
72414650,20190928,51,PHYLLIS,N,0.112,0,0,1,1,N,N,35,98,9801,Y,37.4868,-82.52647,9,3,2,1,1,2,5,6,3,N,N,2019,O,098-CS-1090  -000,098-CS-1090  -000,0.112,0,0,1,0,0,0,1,0,0,0,0,1,0,1,DAC,0,1,,
72403389,20190903,1045,BAIRD,N,,0,0,2,1,N,Y,15,98,9801,Y,37.4731,-82.52789,9,97,6,1,1,2,2,1,3,Y,N,2019,O,098-KY-1426  -000,098-KY-1426  -000,5.399,0,0,0,1,1,0,0,0,0,0,0,0,0,1,DAC,1,0,195-1174,1
72345338,20190420,2042,KY3496,N,0.018,0,0,2,2,N,N,35,98,9801,Y,37.46572,-82.5282,8,3,6,1,5,6,5,1,3,N,N,2019,O,098-KY-3496  -000,098-KY-3496  -000,0.018,0,0,0,1,0,0,0,0,0,0,0,1,0,1,DAC,1,0,195-1219,1
72396009,20190819,2142,CHLOE,N,,0,0,1,1,N,N,45,98,9801,Y,37.46644,-82.47878,9,3,1,1,1,2,6,6,3,N,N,2019,O,098-KY-1460  -000,098-KY-1460  -000,2.558,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-DAC,0,1,,
72350102,20190504,2318,US23,N,31.741,0,0,1,1,N,N,55,98,9801,Y,37.53716,-82.60412,9,5,6,1,5,6,4,1,3,N,Y,2019,O,098-US-0023  -010,098-US-0023  -000,31.741,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Non-DAC,0,1,,
